Año;Mes;Código;Descripción;Rep.;Reg. I;Reg. II;Reg. III;Reg. IV;Reg. V;Reg. VI;Reg. VII;Reg. VIII
2024;Enero;0;REPÚBLICA;100.03;100.06;100.10;100.01;99.76;100.05;100.09;99.86;100.21
2024;Enero;1;ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS;100.03;99.95;100.04;100.17;99.59;100.05;99.99;99.53;100.93
2024;Enero;111101;Arroz;100.05;100.20;99.94;100.02;102.86;99.77;99.79;99.63;98.19
2024;Enero;111102;Maíz;99.96;98.33;100.00;98.22;101.02;100.96;101.17;99.67;97.45
2024;Enero;111201;Harina de trigo;98.96;98.00;104.49;96.46;100.00;98.08;98.92;100.00;100.00
2024;Enero;111202;Harina de maíz;100.39;100.26;100.00;100.30;101.84;100.61;99.93;100.00;101.30
2024;Enero;111203;Harina para atoles;99.95;102.61;100.03;99.87;99.27;100.28;100.58;99.12;99.68
2024;Enero;111301;Pan;99.13;97.86;99.59;99.36;98.64;99.53;100.52;100.99;99.84
2024;Enero;111302;Pan dulce;98.54;99.97;101.45;98.30;94.99;100.71;99.97;96.06;99.49
2024;Enero;111303;Galletas;99.77;100.17;100.00;99.00;99.83;99.61;99.65;100.09;99.90
2024;Enero;111304;Tortillas;99.40;98.23;101.01;101.91;98.99;97.67;99.15;97.30;99.91
2024;Enero;111305;Productos de panadería/pastelería;100.89;100.68;100.00;100.82;102.16;100.32;100.85;100.56;100.00
2024;Enero;111306;Otros productos de panadería;99.92;100.11;99.27;100.00;100.00;99.94;99.92;100.00;100.00
2024;Enero;111401;Cereales de bolsa o caja;99.80;99.98;100.58;99.67;99.41;99.37;99.39;100.26;99.98
2024;Enero;111402;Avena/mosh;99.10;99.72;99.89;97.26;99.28;100.32;99.59;97.80;100.08
2024;Enero;111501;Espagueti;100.27;98.97;99.39;101.08;101.99;99.43;100.68;100.27;99.99
2024;Enero;111502;Fideos en todas sus formas (Excepto macarrones y espagueti);100.02;98.63;99.50;99.24;98.49;99.92;100.09;101.41;100.21
2024;Enero;111503;Chao mein;99.78;100.40;100.00;98.56;97.88;100.00;100.84;100.49;99.91
2024;Enero;112101;Pollos, gallinas y gallos vivos;100.00;0.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
2024;Enero;112201;Carne fresca de res;100.17;99.92;100.08;99.74;101.65;99.96;99.73;100.33;100.21
2024;Enero;112202;Carne fresca de cerdo;101.04;102.71;100.21;100.87;102.62;100.00;101.76;101.20;100.00
2024;Enero;112203;Carne fresca de pollo;101.93;102.21;100.00;99.84;101.21;103.68;99.72;101.20;107.39
2024;Enero;112401;Menudos de pollo;100.03;100.18;100.00;100.00;100.00;100.00;100.00;100.00;100.00
2024;Enero;112402;Menudos de res;99.69;98.94;100.00;100.00;99.54;100.00;100.19;98.59;100.64
2024;Enero;112501;Salchichas y productos similares de carne;99.54;100.29;100.00;100.69;99.12;99.75;97.81;100.47;98.06
2024;Enero;112502;Jamón (pollo, res, cerdo, mixto, etc);101.33;102.80;101.24;98.41;103.25;100.00;100.18;100.07;103.91
2024;Enero;112503;Longanizas y chorizos (de todo tipo);99.45;100.70;100.57;97.94;100.24;99.04;100.14;98.28;98.16
